Tweet,Suicide,Clean_Tweet
making some lunch,Not Suicide post,"['making', 'some', 'lunch']"
you want his money,Not Suicide post,"['you', 'want', 'his', 'money']"
that crap took me forever to put together im going to go sleep for days,Potential Suicide post ,"['that', 'crap', 'took', 'me', 'forever', 'to', 'put', 'together', 'im', 'going', 'to', 'go', 'sleep', 'for', 'days']"
hey jer since when did you statwittering,Not Suicide post,"['hey', 'jer', 'since', 'when', 'did', 'you', 'statwittering']"
trying out quotdelicious library 2quot with mixed results the bar code thought i wanted to add a spobra instead of a drill cool app tho,Not Suicide post,"['trying', 'out', 'quotdelicious', 'library', '2quot', 'with', 'mixed', 'results', 'the', 'bar', 'code', 'thought', 'i', 'wanted', 'to', 'add', 'a', 'spobra', 'instead', 'of', 'a', 'drill', 'cool', 'app', 'tho']"
oh that's good to hear but is it over already or you'll continue it after the holy week,Not Suicide post,"['oh', 'that', ""'s"", 'good', 'to', 'hear', 'but', 'is', 'it', 'over', 'already', 'or', 'you', ""'ll"", 'continue', 'it', 'after', 'the', 'holy', 'week']"
u've got a list for fellow you going to have to share that one amigo,Not Suicide post,"['u', ""'ve"", 'got', 'a', 'list', 'for', 'fellow', 'you', 'going', 'to', 'have', 'to', 'share', 'that', 'one', 'amigo']"
just because shane made a series on you doesnt mean people take you seriously y,Potential Suicide post ,"['just', 'because', 'shane', 'made', 'a', 'series', 'on', 'you', 'doesnt', 'mean', 'people', 'take', 'you', 'seriously', 'y']"
time for some warsaw beer garden chilling,Not Suicide post,"['time', 'for', 'some', 'warsaw', 'beer', 'garden', 'chilling']"
i hate my life lmao i hope i die soon or sumn i'm too tired of everything,Potential Suicide post ,"['i', 'hate', 'my', 'life', 'lmao', 'i', 'hope', 'i', 'die', 'soon', 'or', 'sumn', 'i', ""'m"", 'too', 'tired', 'of', 'everything']"
everything your lover does for you is for her survival everything your mother does for you is for your survival,Not Suicide post,"['everything', 'your', 'lover', 'does', 'for', 'you', 'is', 'for', 'her', 'survival', 'everything', 'your', 'mother', 'does', 'for', 'you', 'is', 'for', 'your', 'survival']"
there is a stray cat on campus that looks like garfield the students are always feeding him so he is very fat like me,Not Suicide post,"['there', 'is', 'a', 'stray', 'cat', 'on', 'campus', 'that', 'looks', 'like', 'garfield', 'the', 'students', 'are', 'always', 'feeding', 'him', 'so', 'he', 'is', 'very', 'fat', 'like', 'me']"
is on the go,Not Suicide post,"['is', 'on', 'the', 'go']"
i have an awful habit of avoiding writing papers by watching instagram live videos of the kids i used to nanny for,Potential Suicide post ,"['i', 'have', 'an', 'awful', 'habit', 'of', 'avoiding', 'writing', 'papers', 'by', 'watching', 'instagram', 'live', 'videos', 'of', 'the', 'kids', 'i', 'used', 'to', 'nanny', 'for']"
haha well i have more but i don't have to do anything but file the rest away or delete them,Not Suicide post,"['haha', 'well', 'i', 'have', 'more', 'but', 'i', 'do', ""n't"", 'have', 'to', 'do', 'anything', 'but', 'file', 'the', 'rest', 'away', 'or', 'delete', 'them']"
goooooood hwo're you,Not Suicide post,"['goooooood', 'hwo', ""'re"", 'you']"
i want to say ill never be active again not quite sure i dont have any reason to be on here anymore anyways bye everyone t,Potential Suicide post ,"['i', 'want', 'to', 'say', 'ill', 'never', 'be', 'active', 'again', 'not', 'quite', 'sure', 'i', 'dont', 'have', 'any', 'reason', 'to', 'be', 'on', 'here', 'anymore', 'anyways', 'bye', 'everyone', 't']"
focus on opportunities more than you focus on money,Not Suicide post,"['focus', 'on', 'opportunities', 'more', 'than', 'you', 'focus', 'on', 'money']"
somebody please fucking kill me im so in love,Potential Suicide post ,"['somebody', 'please', 'fucking', 'kill', 'me', 'im', 'so', 'in', 'love']"
im at the point of the semester where im so tired of everything i just want to roll over and die,Potential Suicide post ,"['im', 'at', 'the', 'point', 'of', 'the', 'semester', 'where', 'im', 'so', 'tired', 'of', 'everything', 'i', 'just', 'want', 'to', 'roll', 'over', 'and', 'die']"
gerrusengi want to die so much i dont want to be here anymore,Potential Suicide post ,"['gerrusengi', 'want', 'to', 'die', 'so', 'much', 'i', 'dont', 'want', 'to', 'be', 'here', 'anymore']"
and i hate the fact if it's true dojae will do surgery dojae has to endure the pain alone ' without segye a,Potential Suicide post ,"['and', 'i', 'hate', 'the', 'fact', 'if', 'it', ""'s"", 'true', 'dojae', 'will', 'do', 'surgery', 'dojae', 'has', 'to', 'endure', 'the', 'pain', 'alone', ""'"", 'without', 'segye', 'a']"
when you're tired of living your life all you can do is close your eyes and go to sleep,Potential Suicide post ,"['when', 'you', ""'re"", 'tired', 'of', 'living', 'your', 'life', 'all', 'you', 'can', 'do', 'is', 'close', 'your', 'eyes', 'and', 'go', 'to', 'sleep']"
i am going to kill myself right now i am sorry you are feeling so desperate,Potential Suicide post ,"['i', 'am', 'going', 'to', 'kill', 'myself', 'right', 'now', 'i', 'am', 'sorry', 'you', 'are', 'feeling', 'so', 'desperate']"
enjoy i just can't get into it this season but happy to know that you're getting your groove on,Not Suicide post,"['enjoy', 'i', 'just', 'ca', ""n't"", 'get', 'into', 'it', 'this', 'season', 'but', 'happy', 'to', 'know', 'that', 'you', ""'re"", 'getting', 'your', 'groove', 'on']"
bloodstain on the carpet ready to gooo,Not Suicide post,"['bloodstain', 'on', 'the', 'carpet', 'ready', 'to', 'gooo']"
really fuckin want this portion of my life to be over,Potential Suicide post ,"['really', 'fuckin', 'want', 'this', 'portion', 'of', 'my', 'life', 'to', 'be', 'over']"
i'm very very hungry don't anyone on my timeline dare to talk about food or i'll seriously eat you up,Not Suicide post,"['i', ""'m"", 'very', 'very', 'hungry', 'do', ""n't"", 'anyone', 'on', 'my', 'timeline', 'dare', 'to', 'talk', 'about', 'food', 'or', 'i', ""'ll"", 'seriously', 'eat', 'you', 'up']"
mom always used to want everyone home before dark as though anything was out there at night that wasn't there during the day,Not Suicide post,"['mom', 'always', 'used', 'to', 'want', 'everyone', 'home', 'before', 'dark', 'as', 'though', 'anything', 'was', 'out', 'there', 'at', 'night', 'that', 'was', ""n't"", 'there', 'during', 'the', 'day']"
i think you'll do whatever you want,Not Suicide post,"['i', 'think', 'you', ""'ll"", 'do', 'whatever', 'you', 'want']"
that sounds so terrible that's how i was when my dad still lived w me but i hope it gets better for,Potential Suicide post ,"['that', 'sounds', 'so', 'terrible', 'that', ""'s"", 'how', 'i', 'was', 'when', 'my', 'dad', 'still', 'lived', 'w', 'me', 'but', 'i', 'hope', 'it', 'gets', 'better', 'for']"
no just one shortly before the soap awards judging starts,Not Suicide post,"['no', 'just', 'one', 'shortly', 'before', 'the', 'soap', 'awards', 'judging', 'starts']"
just had a conversation with about how 'dependent' we seem to be of internet and mobile phones nowadays,Not Suicide post,"['just', 'had', 'a', 'conversation', 'with', 'about', 'how', ""'dependent"", ""'"", 'we', 'seem', 'to', 'be', 'of', 'internet', 'and', 'mobile', 'phones', 'nowadays']"
oh yes i was reading that one,Not Suicide post,"['oh', 'yes', 'i', 'was', 'reading', 'that', 'one']"
my life is so miserable and it's not getting better,Potential Suicide post ,"['my', 'life', 'is', 'so', 'miserable', 'and', 'it', ""'s"", 'not', 'getting', 'better']"
you sau i stood up at 8 then off to offenbach home outside sunshine love you,Not Suicide post,"['you', 'sau', 'i', 'stood', 'up', 'at', '8', 'then', 'off', 'to', 'offenbach', 'home', 'outside', 'sunshine', 'love', 'you']"
she is not tired,Not Suicide post,"['she', 'is', 'not', 'tired']"
being a single mommy was never paof the plan but i wake up everyday and do my shit,Potential Suicide post ,"['being', 'a', 'single', 'mommy', 'was', 'never', 'paof', 'the', 'plan', 'but', 'i', 'wake', 'up', 'everyday', 'and', 'do', 'my', 'shit']"
but what bezos de blasio and cuomo have down is walked into our little lego town kicked all of our lego towers a,Potential Suicide post ,"['but', 'what', 'bezos', 'de', 'blasio', 'and', 'cuomo', 'have', 'down', 'is', 'walked', 'into', 'our', 'little', 'lego', 'town', 'kicked', 'all', 'of', 'our', 'lego', 'towers', 'a']"
i want money,Not Suicide post,"['i', 'want', 'money']"
how was it so i know what to expect,Not Suicide post,"['how', 'was', 'it', 'so', 'i', 'know', 'what', 'to', 'expect']"
mmm mummy's culinary skills has been improving smells so good i'm loving home cooked food,Not Suicide post,"['mmm', 'mummy', ""'s"", 'culinary', 'skills', 'has', 'been', 'improving', 'smells', 'so', 'good', 'i', ""'m"", 'loving', 'home', 'cooked', 'food']"
