Tweet,Suicide,Clean_Tweet
making some lunch,Not Suicide post,making lunch
you want his money,Not Suicide post,want money
that crap took me forever to put together im going to go sleep for days,Potential Suicide post ,crap took forever put together im going go sleep day
hey jer since when did you statwittering,Not Suicide post,hey jer since statwittering
trying out quotdelicious library 2quot with mixed results the bar code thought i wanted to add a spobra instead of a drill cool app tho,Not Suicide post,trying quotdelicious library 2quot mixed result bar code thought wanted add spobra instead drill cool app tho
oh that's good to hear but is it over already or you'll continue it after the holy week,Not Suicide post,oh 's good hear already 'll continue holy week
u've got a list for fellow you going to have to share that one amigo,Not Suicide post,u 've got list fellow going share one amigo
just because shane made a series on you doesnt mean people take you seriously y,Potential Suicide post ,shane made series doesnt mean people take seriously
time for some warsaw beer garden chilling,Not Suicide post,time warsaw beer garden chilling
i hate my life lmao i hope i die soon or sumn i'm too tired of everything,Potential Suicide post ,hate life lmao hope die soon sumn 'm tired everything
everything your lover does for you is for her survival everything your mother does for you is for your survival,Not Suicide post,everything lover survival everything mother survival
there is a stray cat on campus that looks like garfield the students are always feeding him so he is very fat like me,Not Suicide post,stray cat campus look like garfield student always feeding fat like
is on the go,Not Suicide post,go
i have an awful habit of avoiding writing papers by watching instagram live videos of the kids i used to nanny for,Potential Suicide post ,awful habit avoiding writing paper watching instagram live video kid used nanny
haha well i have more but i don't have to do anything but file the rest away or delete them,Not Suicide post,haha well n't anything file rest away delete
goooooood hwo're you,Not Suicide post,goooooood hwo 're
i want to say ill never be active again not quite sure i dont have any reason to be on here anymore anyways bye everyone t,Potential Suicide post ,want say ill never active quite sure dont reason anymore anyways bye everyone
focus on opportunities more than you focus on money,Not Suicide post,focus opportunity focus money
somebody please fucking kill me im so in love,Potential Suicide post ,somebody please fucking kill im love
im at the point of the semester where im so tired of everything i just want to roll over and die,Potential Suicide post ,im point semester im tired everything want roll die
gerrusengi want to die so much i dont want to be here anymore,Potential Suicide post ,gerrusengi want die much dont want anymore
and i hate the fact if it's true dojae will do surgery dojae has to endure the pain alone ' without segye a,Potential Suicide post ,hate fact 's true dojae surgery dojae endure pain alone ' without segye
when you're tired of living your life all you can do is close your eyes and go to sleep,Potential Suicide post ,'re tired living life close eye go sleep
i am going to kill myself right now i am sorry you are feeling so desperate,Potential Suicide post ,going kill right sorry feeling desperate
enjoy i just can't get into it this season but happy to know that you're getting your groove on,Not Suicide post,enjoy ca n't get season happy know 're getting groove
bloodstain on the carpet ready to gooo,Not Suicide post,bloodstain carpet ready gooo
really fuckin want this portion of my life to be over,Potential Suicide post ,really fuckin want portion life
i'm very very hungry don't anyone on my timeline dare to talk about food or i'll seriously eat you up,Not Suicide post,'m hungry n't anyone timeline dare talk food 'll seriously eat
mom always used to want everyone home before dark as though anything was out there at night that wasn't there during the day,Not Suicide post,mom always used want everyone home dark though anything night n't day
i think you'll do whatever you want,Not Suicide post,think 'll whatever want
that sounds so terrible that's how i was when my dad still lived w me but i hope it gets better for,Potential Suicide post ,sound terrible 's dad still lived w hope get better
no just one shortly before the soap awards judging starts,Not Suicide post,one shortly soap award judging start
just had a conversation with about how 'dependent' we seem to be of internet and mobile phones nowadays,Not Suicide post,conversation 'dependent ' seem internet mobile phone nowadays
oh yes i was reading that one,Not Suicide post,oh yes reading one
my life is so miserable and it's not getting better,Potential Suicide post ,life miserable 's getting better
you sau i stood up at 8 then off to offenbach home outside sunshine love you,Not Suicide post,sau stood 8 offenbach home outside sunshine love
she is not tired,Not Suicide post,tired
being a single mommy was never paof the plan but i wake up everyday and do my shit,Potential Suicide post ,single mommy never paof plan wake everyday shit
but what bezos de blasio and cuomo have down is walked into our little lego town kicked all of our lego towers a,Potential Suicide post ,bezos de blasio cuomo walked little lego town kicked lego tower
i want money,Not Suicide post,want money
how was it so i know what to expect,Not Suicide post,know expect
mmm mummy's culinary skills has been improving smells so good i'm loving home cooked food,Not Suicide post,mmm mummy 's culinary skill improving smell good 'm loving home cooked food
i need to put myself to rest i ve crashed my motorcycle today i don t know how but i m mostly fine it was the most beautiful moment of my life i know it s sick to think that but it felt good to see people approach me to help me after the crash the feeling of my body being dragged by my bike for several meters on the ground looking at the sky while this one song played in my earphonesi ve just felt emptiness for the past yearsi don t want this second chance i want to get on my broken bike bring it up to speed one last time and then just end it all i just don t want to drown anymore please,Potential Suicide post ,need put rest crashed motorcycle today know mostly fine beautiful moment life know sick think felt good see people approach help crash feeling body dragged bike several meter ground looking sky one song played earphonesi felt emptiness past yearsi want second chance want get broken bike bring speed one last time end want drown anymore please
brushin' mah teef secularly,Not Suicide post,brushin ' mah teef secularly
i'll be in london today wave if you see me,Not Suicide post,'ll london today wave see
i am looking for the berocca then all will be well,Not Suicide post,looking berocca well
thank you i thought it was pass it around have a great day luv ur stuff,Not Suicide post,thank thought pa around great day luv ur stuff
i want to die i dont deserve a piece of anything i dont belong anywhere im sick and tired of everything the sa,Potential Suicide post ,want die dont deserve piece anything dont belong anywhere im sick tired everything sa
i fucking hate my whole family all they do is making me feel fat and i'm so done with feeling bad about my body and,Potential Suicide post ,fucking hate whole family making feel fat 'm done feeling bad body
i luv your blog too fashion is lt3,Not Suicide post,luv blog fashion lt3
sorry for your loss this post gave me goosebumps because although i havent thought of suicide your d,Potential Suicide post ,sorry loss post gave goosebump although havent thought suicide
ha ha i started something with the rocquestar thing didn't i,Not Suicide post,ha ha started something rocquestar thing n't
photoboth is black and white and wayyyyy old we call him herbelol i love him he's like a living legend gotta love berlin lt3,Not Suicide post,photoboth black white wayyyyy old call herbelol love 's like living legend got ta love berlin lt3
the one we were looking out for,Not Suicide post,one looking
he want to kill her,Not Suicide post,want kill
you understand what the fuck im doing wrong with my life,Potential Suicide post ,understand fuck im wrong life
awwwwww i really wish i could be there to give ya some serious tlc rachel hunsending ya huge hugz and kisses,Not Suicide post,awwwwww really wish could give ya serious tlc rachel hunsending ya huge hugz kiss
looking for help on testing prawn pdfs with cucumber all i can find is prawn and cucumber salad recipes,Not Suicide post,looking help testing prawn pdfs cucumber find prawn cucumber salad recipe
